序号,题型,题干,答案选项A,答案选项B,答案选项C,答案选项D,试题（选项E）,正确答案
1,单选,职业道德是从事一定职业的人们在职业活动过程中所应遵循的（    ）和行为规范的总和。,道德原则,政治义务,职业守则,立法制约,,A
2,单选,职业道德是一种内在的（    ）的约束机制。,强制性,非强制性,随意性,自发性,,B
3,单选,下列选项中，属于新的职业道德观念的核心理念是（    ）。,尽忠职守,服务意识,公德意识,劳动技术,,B
4,单选,职业道德的（    ）特征反映各行各业的职业特点，鲜明地表达着职业义务、责任以及行为上的道德准则。,鲜明职业性,内容多样性,相对稳定性,较强适应性,,A
5,单选,《公民道德建设实施纲要》明确提出，要大力提倡以（    ），为主要内容的职业道徳。, 爱国守法、明礼诚信、团结友善、勤俭自强、敬业奉献,爱祖国、爱人民、爱劳动、爱科学、爱社会主义,爱岗敬业、诚实守信、办事公道、群众服务、奉献社会,尊老爱幼、反对迷信、不随地吐痰、不乱扔垃圾,,C
6,单选,下列选项中，不属于职业道德具有的特征是（    ）。,范围的有限性,内容的稳定性和连续性,行业的多样性,形式的多样性,,C
7,单选,职业道德在企业文化中占据重要地位，而职工是企业的主体，因此企业文化必须以（    ）为中介。,企业环境,企业职工,企业作风,企业环境,,B
8,单选,增强职业道德，可以（    ）增强企业内部凝聚力。,协调员工之间的关系,增加员工福利,为员工创造发展空间,调节企业与社会的关系,,A
9,单选,职业道德不能通过（    ）的关系，增强企业的凝聚力。,协调企业职工间,调节领导与职工,协调职工与企业,调节企业与市场,,D
10,单选,职工道德修养是指（    ）在道德的意识、道德行为方面的自我锻炼、自我改造和自我提高。,劳动保障协理员,失业人员,从业人员,退休人员,,C
11,单选,提高职工道德修养的前提是（    ）。,确立正确的人生观,学习先进人物的优良品质,培养自己良好的行为习惯,同旧思想、旧意识及不良现象作斗争,,A
12,单选,下列关于职业道德的说法中，正确的是（    ）。,职业道德与人格无关,职业道德的养成只能靠教化,职业道德只能靠制度规约,职业道德从一个侧面反映人的整体道德素质,,D
13,单选,爱岗敬业是人类社会最为普通的（    ）精神，它看似平凡，实则伟大。,艰苦奋斗,无畏,刻苦,奉献,,D
14,单选,朱熹指出的“专心致志，以事其业”说的是（    ）。,敬业精神, 奉献精神,公仆意识,意志品质,,A
15,单选,以下不是爱岗敬业的具体要求是（    ）。,树立职业理想,强化职业责任, 提高职业技能,不择手段升职,,D
16,单选,团结进取的基本要求不包括（    ）。,加强协作,顾全大局,平等尊重,保护环境,,D
17,单选,下列关于团结互助、加强协作，正确的表述是（    ）。,正确看待道德与法治,正确处理竞争与合作的关系,正确处理主要矛盾与次要矛盾的关系, 正确处理国家集体与个体的关系,,B
18,单选,在下列选项中，符合办事公道规范的有（    ）。,顾全大局、服从上级,秉公执法，不徇私情,知人善任、培养亲信,公私不分，一切平等,,B
19,单选,下列符合遵纪守法要求的做法不包括（    ）。,遵守法律法规,遵守行为规范,遵守所在机构的规章制度,在楼下没人的时候可以高空抛物,,D
20,单选,关于道德与法律的区别，表述不正确的是（    ）。,道德的表现形式不如法律严格,道德的调整范围比法律广,法律由国家强制力保障实施,道德产生时间比法律早，有阶级的社会才有道德规范,,D
21,单选,职业纪律是最明确的职业规范，它以（    ）的方式规定职业活动中对从业人员的基本要求。,自律,办法,道德规范,习俗,,C
22,单选,安全操作的基本要求不包括（    ）。,高度重视,严格检查,爱岗敬业,强化责任,,C
23,单选,生产经营单位应当在有较大危险因素的生产经营场所和有关设施、设备上，设置明显的（    ）。,安全宣传标语,安全宣传挂图,安全警示标志,安全说明,,C
24,单选,以下不是安全生产检查的方式是（    ）。,经验检查法,常规检查,安全检查表法,仪器检查法,,A
25,单选,诚实守信的基本要求不包括（    ）。,保密守信,不搞虚假,忠于职守,积极进取,,D
26,单选,做人之本，立事之基，为政之根是（    ）。,服务群众,诚实守信,爱岗敬业,办事公道,,B
27,单选,下列论述中，属于“诚”的含义的是（    ）。,“诚”即为人要老实, “诚”就是尊重客观事实，忠于本心,诚实，必须忠于客观事情,是对“天谴”的真实反映,,B
